source_page,extracted_table_index,column_1,column_2,column_3,column_4
10,1,447,Operation on Adrenal Glands - Bilateral,26105,30021
10,1,448,Operation on Adrenal Glands - Unilateral,13800,15870
10,1,449,Appendicectomy,16150,19000
10,1,450,Appendicular Abscess – Drainage,8798,10118
10,1,451,Mesenteric Cyst- Excision,9936,11426
10,1,452,Peritonioscopy/Laparoscopy,4600,5290
10,1,453,Jejunostomy,5750,6613
10,1,454,Ileostomy,13869,15949
10,1,455,Resection & Anastomosis of Small Intestine-including exploratory Laparotomy,40375,47500
10,1,456,Duodenal Diverticulum,16560,19044
10,1,457,Operation for Intestinal Obstruction,10350,11903
10,1,458,Operation for Intestinal perforation,34200,39330
10,1,459,Benign Tumours of Small Intestine,19550,22483
10,1,460,Excision of Small Intestine Fistula,38250,45000
10,1,461,Operations for GI Bleed,16000,18400
10,1,462,Operations for Haemorrhage of Small Intestines,19000,21850
10,1,463,Operations of the Duplication of the Intestines-including exploratory laparotomy,34850,41000
10,1,464,Operations for Recurrent Intestinal Obstruction (Noble Plication & Other Operations for Adhesions),23000,26450
10,1,465,Ileosigmoidostomy and related resection,16790,19309
10,1,466,Ileotransverse Colostomy and related resection,16790,19309
10,1,467,Caecostomy,3903,4488
10,1,468,Loop Colostomy Transverse Sigmoid,13110,15077
10,1,469,Terminal Colostomy,25500,30000
10,1,470,Closure of Colostomy,25500,30000
10,1,471,Right Hemicolectomy,27200,32000
10,1,472,Left Hemicolectomy,27200,32000
10,1,473,Total Colectomy,34000,40000
10,1,474,Operations for Volvulus of Large Bowel,24920,28658
10,1,475,Operations for Sigmoid Diverticulitis,18630,21425
10,1,476,Fissure in Ano with Internal sphinctrectomy with fissurectomy.,27200,32000
10,1,477,Fissure in Ano - Fissurectomy,24650,29000
10,1,478,Rectal Polyp-Excision,11645,13700
10,1,479,Fistula in Ano - High Fistulectomy,29750,35000
10,1,480,Fistula in Ano - Low Fistulectomy,19550,23000
10,1,481,Prolapse Rectum - Thiersch Wiring,10000,11500
10,1,482,Prolapse Rectum - Rectopexy,11900,14000
10,1,483,Prolapse Rectum - Grahams Operation,Deleted,Deleted
10,1,484,Operations for Hirschsprungs Disease,14260,16399
10,1,485,Excision of Pilonidal Sinus (open),18700,22000
10,1,486,Excision of Pilonidal Sinus with closure,21250,25000
10,1,487,Abdomino-Perineal Excision of Rectum,18300,21045
10,1,488,Anterior Resection of rectum,21850,25128
10,1,489,Pull Through Abdominal Resection,17170,19746
10,1,490,Retro Peritoneal Tumor Removal,16200,18630
10,1,491,Radio ablation of varicose veins (RFA Ablation),7225,8500
