source_page,extracted_table_index,column_1,column_2,column_3,column_4,column_5
9,1,444,Operation for Hydatid Cyst of Liver,22950,27000,01.02.2024
9,1,445,Cholecystostomy,9263,10652,
9,1,446,Hepatic Resections (Lobectomy /Hepatectomy),28050,33000,01.02.2024
9,1,447,Operation on Adrenal Glands - Bilateral,23495,27019,
9,1,448,Operation on Adrenal Glands - Unilateral,13800,15870,
9,1,449,Appendicectomy,16150,19000,01.02.2024
9,1,450,Appendicular Abscess – Drainage,8798,10117,
9,1,451,Mesenteric Cyst- Excision,9936,11426,
9,1,452,Peritonioscopy/Laparoscopy,4600,5290,
9,1,453,Jejunostomy,5175,5952,
9,1,454,Ileostomy,13869,15950,
9,1,455,Resection & Anastomosis of Small Intestine including exploratory Laparotomy,18630,21425,01.02.2024
9,1,456,Duodenal Diverticulum,18400,21160,
9,1,457,Operation for Intestinal Obstruction,9315,10713,
9,1,458,Operation for Intestinal perforation,34200,39330,
9,1,459,Benign Tumours of Small Intestine,17595,20235,
9,1,460,Excision of Small Intestine Fistula,38250,45000,01.02.2024
9,1,461,Operations for GI Bleed,16000,18400,
9,1,462,Operations for Haemorrhage of Small Intestines,19550,22483,
9,1,463,Operations of the Duplication of the Intestines--- including exploratory Laparotomy,34850,41000,01.02.2024
9,1,464,Operations for Recurrent Intestinal Obstruction (Noble Plication & Other Operations for Adhesions),20700,23805,
9,1,465,Ilieosigmoidostomy and related resection,16790,19309,
9,1,466,Ilieotransverse Colostomy and related resection,16790,19309,
9,1,467,Caecostomy,3903,4488,
9,1,468,Loop Colostomy Transverse Sigmoid,13110,15077,
9,1,469,Terminal Colostomy,25500,30000,01.02.2024
9,1,470,Closure of Colostomy,25500,30000,01.02.2024
9,1,471,Right Hemi-Colectomy,27200,32000,01.02.2024
9,1,472,Left Hemi-Colectomy,27200,32000,01.02.2024
9,1,473,Total Colectomy,34000,40000,01.02.2024
9,1,474,Operations for Volvulus of Large Bowel,24920,28658,
9,1,475,Operations for Sigmoid Diverticulitis,16767,19283,
9,1,476,Fissure in Ano with Internal sphinctrectomy with fissurectomy,27200,32000,01.02.2024
9,1,477,Fissure in Ano - Fissurectomy,24650,29000,01.02.2024
9,1,478,Rectal Polyp-Excision,11645,`,01.02.2024
9,1,479,Fistula in Ano - High Fistulectomy,29750,35000,01.02.2024
9,1,480,Fistula in Ano - Low Fistulectomy,19550,23000,01.02.2024
